question,answer,source
Finding Academic Calendars,Academic Calendars Troy University Academic Calendar - this calendar is comprehensive among all TROY campuses and service centers. Alabama Campuses : The Academic Calendar for each campus is located in the PDF version of the Schedule of Classes for each campus. The Schedule of Classes can be found on the Schuedule of Classes website . Pacific Service Centers TROY Online U.S. Service Centers,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40956
Subcribing to the University Calendar,"The university calendar system, Trumba, is used to manage and deliver several key calendars to our websites and mobile app. In addition to providing this information on our websites, university students, faculty and staff can also subscribe to individual calendars in order to sync these important dates to their desktop Outlook clients and mobile devices. The best method for subscribing to a calendar, in order to ensure that the information is available across all of your devices, is to add the calendar from within the Outlook web application. If you add it directly to your device, instead of via Outlook in a web browser, it will only appear on that device. You will only need to complete this process one time for each calendar. Any updates to the calendar will be automatically synched to your account. We recommend following these instructions on a desktop or a laptop, instead of a mobile device. Copy the Calendar’s Subscription Web Address Faculty and staff may prefer to subscribe to the Academic Calendar, instead of the main Troy University Events calendar. The main events calendar contains nearly all events available, which may be more information than most individuals will want to have in their calendars. The Academic Calendar also includes data from the Holidays and Administrative Leave calendar; subscribing to both is not necessary. Login to https://my.troy.edu/calendars using your TrojanPass ID and password. Select the link for the calendar’s web page that you would like to add. Next, on the calendar’s page select the “Subscribe” link in the upper-right area above the list of dates. This will open a pop-up window with a list of different ways to receive the calendar data. If it doesn’t open ensure that your browser isn’t blocking it. Then only select the “iCalendar Subscribe” option (you do not need to login to Trumba in order to access the calendar subscription). In the area that appears, right-click on the “webcal” address that you are provided and choose to copy the link. The option you need to select in order to copy the link may have different wording depending on the browser that you are using. Paste this link into a new text file, or an empty Word document, so you can copy it later for the next set of instructions. Add the Calendar Subscription Web Address to Outlook for the Web Login to Outlook at https://outlook.com/troy.edu . In the bottom left corner of the browser window you’ll see a row of icons. Select the one that will load your Outlook Calendars. To the right of the search bar and the “New” button, you should see the “Add calendar” link. Select this link to continue. From the drop-down list that appears, select “From Internet”. In the next window paste the Calendar subscription web address that you copied earlier into the “Link to the calendar” box. Next, add a label for the calendar in the “Calendar name”. For example, if it’s the Academic Calendar you can simply label it “Academic Calendar”. This is the calendar name that will appear on your devices. Select “Save” to save this calendar to your account At this point, you may logout and close the browser window. After a moment you should see the items from this calendar populate into your Outlook client and any devices that are connected to your Troy University Office 365 account that can display your calendars. These calendars are read-only. You will not have the ability to change or delete these items. If you’d prefer to remove a calendar, you may return to your account and delete it from the list of calendars. If you observe any inaccurate dates, please submit a Helpdesk ticket to notify us.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=84615
Outlook Calendar,"Try it! Discover your Outlook calendar for the first time and see how to switch between day, week, or month views, or see different shared calendars. Adjust your calendar view There are different views to choose from: Month - View the entire month. Week - View the week from Sunday through Saturday. Work Week - View the work week from Monday through Friday. Day - View the current day. Change the displayed week On the month-by-month calendar, select a week to change the displayed week in the calendar. Days in bold indicate a scheduled event. See different calendars To see different calendars side-by-side, select and open one under My Calendars . With different calendars open: Select the arrow on each calendar to overlay them and see when everyone's available. Select Today to go back to the current day. Get quick access to your calendar Hover over Calendar to see a quick view of your calendar and scheduled events for the day. Want more? Introduction to the Outlook Calendar",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40778
Printing Calendars/Appointments/Meetings,"Open your calendar in Outlook. On the File menu, click Print and then in the Settings box, click the print style you want (daily, weekly, etc.). To print the details of appointments and meetings, in the Settings box, click Calendar Details Style . In the Start list and the End list, enter the first day and the last day to print. To set other print options, such as the paper orientation or the fonts used, click Print Options , and then select the options that you want. NOTES To print the details of private appointments, clear the Hide Details of private appointments check box. To print non-adjacent days, change to Week or Month view, select the days you want to print, and then on the File menu, click Print .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40770
Fix OneDrive sync problems,"To help get you started, select the icon that you're seeing from the list below. If you're seeing an error code, read What do the OneDrive error codes mean? If the OneDrive icon you are looking for is not listed here, please read What do the OneDrive icons mean? Windows OneDrive sync error OneDrive for Business sync error or OneDrive processing changes or OneDrive paused OneDrive account nearly full OneDrive account full, locked or frozen OneDrive not signed in SkyDrive sync error OneDrive for Business (old version) sync error Mobile OneDrive active notification in Android Troubleshoot OneDrive for Android Troubleshoot OneDrive for iOS Windows File Explorer / macOS Finder OneDrive sync error OneDrive processing changes File locked Mac OneDrive for Mac sync error I can't see any OneDrive icons Windows On a PC, you should see a white or blue OneDrive cloud icon in the notification area, at the far right of the taskbar. You might need to click the Show hidden icons arrow next to the notification area to see the OneDrive icon. If the icon doesn't appear in the notification area, OneDrive might not be running. Select Start , type OneDrive in the search box, and then select OneDrive in the search results. Important: To make sure you're getting the latest features and fixes, download and install the latest OneDrive app for free. Mac On a Mac, you'll see the OneDrive cloud icons on the top Menu bar. If you don't see the Menu bar, you may need to adjust your General preferences . For more information, go to Apple Support . If the icon doesn't appear in the Status menu area, OneDrive might not be running: Find OneDrive in your Applications folder. Right-click OneDrive and select Show Package Contents . Browse to the Contents > Resources folder. Double-click ResetOneDriveApp.command (or ResetOneDriveAppStandalone.command if you're using the standalone app). Start OneDrive and finish the setup process. Important: To make sure you're getting the latest features and fixes, download and install the latest OneDrive app for free. OneDrive not signed in Select the Start button, search for “OneDrive”, and then open it: In Windows 10, select the OneDrive desktop app. In Windows 7, under Programs , select Microsoft OneDrive . In Windows 8.1, search for OneDrive for Business , and then select the OneDrive for Business app. When OneDrive Setup starts, enter your personal account, or your work or school account, and then select Sign in . File locked padlock icon OneDrive will show a padlock icon next to the sync status if the file or folder has settings which prevent it from syncing. Learn more about restrictions and limitations when you sync files and folders . Flashing OneDrive icon in Android The OneDrive cloud icon may briefly appear in your Android notifications as part of the normal upload process. Learn more about how to Use OneDrive on Android . OneDrive account nearly full If you see this icon, it means your OneDrive storage is nearly full. Caution: Your OneDrive account will be frozen if you exceed your OneDrive storage limit for more than three months. To prevent going over your storage limit, you have three options: Choose to buy more storage. Delete some files and folders. View the largest files on your OneDrive . Free up OneDrive storage by reducing what your sync. You can do this with Files on Demand or by choosing which OneDrive folders to sync with your computer . OneDrive account full, locked or frozen If your OneDrive is full, locked or frozen you may be signed out of OneDrive on your computer. Sign in to the OneDrive website and follow the on-screen instructions to unfreeze it. Read more about What does it mean when your OneDrive account is frozen?",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=101274
Find lost or missing files in OneDrive,"If you have lost files or folders on your computer, please follow the steps below. If you're looking for files on your mobile app, read about finding files in OneDrive for Android , iOS , or Windows Phone . Search for your files on OneDrive online If you have Files On Demand enabled, or if you choose to only sync certain folders, going online will allow you to search all your files and folders. Select the blue OneDrive icon, choose More , then View online . Use Search OneDrive to look for your files. Look in the Recycle bin On the left side of the page, click Recycle bin . If you find the item you're looking for, select it and choose Restore at the top of the page. If you cannot find the item in a long list, you may choose to Restore all items at the top of the page. OneDrive for Business users can restore their entire OneDrive to a previous time. Go to your OneDrive online Settings to undo all the actions that occurred on both files and folders within the last 30 days. Learn more about Restoring your OneDrive . If you still cannot find your files It may be that a file has not yet synced. Files saved with Office 2016 upload to OneDrive first, and then sync with your local PC. If you’re having trouble syncing Office files, the Office Upload cache system may be interfering with OneDrive sync. Try turning off the related setting in OneDrive settings . On iOS devices that have photos optimized for iCloud, the photo is not stored on the device and cannot be uploaded to OneDrive. To disable iCloud optimization on your iOS device, tap Settings > iCloud > Photos and uncheck Optimize Storage . Next steps Files not found via search or in the OneDrive Recycle bin usually cannot be retrieved. To have your IT administrator or someone from support investigate, please submit a helpdesk ticket and  provide the following information. The names of the files or folders you are trying to find. If the files are photos/videos, the date you took them. Approximately when you last accessed the files, and on which device (e.g., PC, Android, iPhone). Consent that we can search your file history for you.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=100771
Upload and save files to OneDrive for Business,"Use OneDrive for Business in your browser Sign in to TROY O365 and select OneDrive . Right-click a file, and select a command. With Microsoft Edge or Google Chrome: Select Upload > Files or Upload > Folder . Select the files or folder you want to upload. Select Open or Select Folder . With other browsers: Select Upload , select the files you want to upload, and select Open . If you don't see Upload > Folder , create a folder, and then upload the files to that folder. Use OneDrive for Business on your desktop If you use Windows 10, OneDrive may have already asked you to sign in to sync your files. In File Explorer, select: OneDrive – Troy University ** If OneDrive isn't setup, see Get started with the new OneDrive sync client in Windows or Get started with the new OneDrive sync client on Mac OS X . Save and open files in your Office Apps. Select File > Save As > OneDrive - [company name] to save a work file to OneDrive. Save personal files to OneDrive - Personal . Select File > Open and then select OneDrive , to open a file saved to OneDrive. Note: Requires Office 365, 2019, or 2016.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=101583
"Stop sharing OneDrive files or folders, or change permissions","You can stop sharing an item, see who it's shared with, or change the permissions others have to it, if you're the owner of the item. Note: You can't change the permission of a sharing link from edit to view or from view to edit. The way around it is to delete your sharing link and create a new one with a different permission. What you see differs depending whether you're signed in with a personal account or a work or school account. Select a tab below to learn more. Stop or change sharing Files and folders can be shared by sending someone a sharing link, or by giving them direct access to the file or folder. (People may also have access to a file or folder if they've been given access to the site itself.) If you are the file owner, you can stop sharing the file or folder. If someone has been given direct access, or has access through a specific people link, you can also change the sharing permissions between view and edit. Here are the steps : Select the file or folder you want to stop sharing. Select Information in the upper-right corner to open the Details pane. Note: (The Information icon is just below your profile picture. If you don't see it, make sure you only have one file or folder selected - it won't display if you have multiple items selected.) On the Details pane, under the Has Access header, you'll see the People icon, the Links icon, and/or the Email icon. These options vary depending on how you have shared the file or folder. Select Manage access and: To stop sharing the file entirely, click Stop sharing . To delete a sharing link, click the ... next to the link, then click the X next to the link to remove it. (You'll get a prompt asking you if you're sure you want to delete the link - if so, click Delete link .) To stop sharing with specific people, expand the list under a specific people link and click the X to remove someone. To change permissions or stop sharing with someone who has direct access, under Direct Access , click the drop down next to the person's name and choose the option that you want. Tip: You can also manage a file or folder's sharing permissions through the OneDrive desktop app for Windows 7, Windows 10, and Mac. All you need to do is right-click the shared file or folder in your OneDrive folder on your computer, and select Share , then select More > Manage access , and a dialog box will open on your desktop so you can make your selections as described above in step 3. See the items you've shared Select Shared in the left pane, and then select Shared by me .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=100766
Get started with OneDrive,"OneDrive gives you one place to store, share, and sync your work or school files. As part of your TROY Office 365 subscription, you can save your files in OneDrive and then work with them from almost any device. Sign in to Office 365 with your work or school account, so you can: Upload files from your PC or Mac. Share files with others. Give others permission to edit files and work on them at the same time. Get to your files from anywhere, on your computer, tablet, or phone. Sync OneDrive to your PC or Mac, so you can access your files even when you're offline. Want more? Share OneDrive files and folders Get the most out of Office 365 on Android phones and tablets Get the most out of Office 365 on iPhones and iPads Discover more Office training at LinkedIn Learning",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=100689
QuickStart: OneDrive for Business,Download PDF: OneDrive Quick Start Guide,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=101594
OneDrive Video Training,Quick start Get started with OneDrive (business) Manage your files Share and sync Featured topics Why use OneDrive to store your docs? Use OneDrive on Windows 10 Download OneDrive More help OneDrive help center LinkedIn Learning On mobile Android iOS,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=100695
OneDrive Troubleshooting,"Sync issues Fix OneDrive sync problems Fix OneDrive sync problems on a Mac OneDrive is stuck on “Processing changes"" Find lost or missing files in OneDrive When OneDrive renames items with invalid characters Invalid file names and file types in OneDrive, OneDrive for Business, and SharePoint How to remove an Outlook .pst data file from OneDrive Unable to share OneDrive files Other issues Fixes or workarounds for recent issues in OneDrive Troubleshoot OneDrive for Android app problems Troubleshoot OneDrive for iOS app problems Troubleshoot OneDrive for Windows Phone app problems What do the OneDrive error codes mean? What do the OneDrive icons mean?",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44843
Collaborate with Office,"Office 365 brings together the best tools for you to work together with others to create something faster, easier, and from anywhere in the world. With colleagues No matter where you are or what device you're on, you can easily share files, co-author in real time, and be productive from anywhere with Office 365. Collaborate at work in Office 365 > Discover more scenarios Hey @you! Answer me this... Using Save a Copy instead of Save As Version history: A better way than ""undo"" Want more? Training Collaborate training Quick Starts Modern workplace Resources Infographics Microsoft Tips Related help Share OneDrive files and folders Document collaboration and co-authoring Work together on Office documents",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=101284
O365: Collaboration,"Collaborate with Office 365 Office 365 unlocks the modern ways of working. No matter if you’re working from home or if there’s an emergency while you’re away, you can have the peace of mind that you’ve got the tools to help you adapt from wherever you are. Whether you’re using a laptop or your mobile device, you can easily attend meetings online, share Office files, co-author in real time, and be productive from anywhere. Collaborate with select peers If you want others to edit with you, you can easily share files and collaborate with trusted peers for a fresh perspective. When you work together this way, only those select people can access and edit shared files. Later, you can always share to a team when you feel like it’s ready! Collaborate as a team Collaboration as a team means having as little friction as possible. You want to seamlessly build ideas, organize files, attend meetings, and collaborate with others. With Microsoft Teams, everyone can work together as one—it doesn’t matter if someone is working remotely or in a different time zone, you'll get it done. Best practices for collaborating Start in the cloud When you work with your files in OneDrive, you’ve got a foundation to share, edit together, and collaborate. No more emailing attachments, no more juggling multiple versions, and no longer restricted to your office computer. Save your file to OneDrive and access it anywhere using the browser or office app. Share a file from your OneDrive to specific people or use a link. Rest easy your files are safe and secure. Always have the most up-to-date version. OneDrive Quick Start | Share your files Start as a team From home, the office, or across the globe, staying in the loop starts with Microsoft Teams. A team can be as formal or flexible as you need it to be. Create a team for everyone who shares the same manager, or create a team for a special project. With Microsoft Teams, you’ll have a central place in the cloud to store files, communicate, and collaborate. All your team files, chats, and more in one place. Confidently schedule and attend meetings online with anyone. Securely work from anywhere with the Office and Microsoft Teams mobile apps. Stay in sync and never worry about out-of-date files or multiple versions. Microsoft Teams Quick Start | SharePoint Online Quick Start Real-time co-authoring Gone are the days where only one person can work in a file at a time. When you need help on a presentation, you can invite trusted peers to help you get it into shape. This means that when you work on a file, so can they. You’ll see their changes and they’ll see yours—as you make them! This is co-authoring with Office 365. Use @mentions in comments to get someone's attention. Edit across different devices and see who's in your file. See changes made by others and see what's happened while you were away. Co-author | Share OneDrive files Real-time everything Your team was invited to present at a conference, so planning starts early in Microsoft Teams. Build ideas freely and naturally in a conversation with your team. Create the PowerPoint directly within Teams where everyone can easily access it, add their content, and edit the slides together at the same time. Let ideas flow in a real-time, chat-based workflow. Use @mentions in comments to get someone's attention. Collaborate with teammates in the same file at the same time. Seamlessly use productivity tools that integrate with one another. Collaborate on files in Microsoft Teams | Work in channels | How to use remote desktop Share at will If you’ve been working on a proposal with others, you can always stop sharing the file at any time. This means that you have total control over who can view, edit, and access your OneDrive files. When you feel like it’s ready to be shared with a larger team, you can easily upload it to Microsoft Teams or a team site. Manage who your files are shared with. Share a OneDrive file to your team so everyone can access it. Use Microsoft Teams to meet online, then screen share and present your work. Join a Teams meeting | Stop sharing OneDrive | Upload to Microsoft Teams Share and present with Microsoft Teams You can always add more people to your Microsoft Teams, such as reviewers to give final approval and feedback. Now that you’ve worked with your team and have a finished presentation, it's time to get ready for the big conference. Using the calendar in Microsoft Teams, you can schedule a meeting online and easily share the link with others. This way, you can present at the conference and also present online for attendees who can't make it in person. Invite others to your team to give input or feedback. Share files with stakeholders outside of your team. Use Microsoft Teams to meet online, then screen share and present your work. Join a Teams meeting",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=101187
Teamwork and Office 365,"Teamwork and Office 365 Every team is different; there’s no one-size-fits-all approach to collaboration. Office 365 is designed to meet the unique needs of every team, empowering people to communicate, collaborate, and achieve more with purpose-built, integrated applications. When deciding which Office 365 apps and services to use, think about the work your organization does and the types of conversations your teams need to have. Teams , as the hub for teamwork, is where people - including people outside your organization - can actively connect and collaborate in real time to get things done. Have a conversation right where the work is happening, whether coauthoring a document, having a meeting, or working together in other apps and services. Teams is the place to have informal chats, iterate quickly on a project, work with team files, and collaborate on shared deliverables. Outlook for collaborating in the familiar environment of email and in a more formal, structured manner or when targeted and direct communication is required. SharePoint for sites, portals, intelligent content services, business process automation, and enterprise search. SharePoint keeps content at the center of teamwork, making all types of content easily shareable and accessible across teams. Tight integration with Outlook, Yammer, and Teams enables seamless content collaboration across conversation experiences. OneDrive for Business for storing files and sharing them with people that a user invites. Content that a user saves to OneDrive for Business is private until the user shares it with others, making it the best option for storing personal and draft documents that are not intended to be shared or not ready to be shared. Yammer to connect people across the organization. Drive company-wide initiatives, share best practices, and build communities around common topics of interest or areas of practice. Crowdsource ideas to foster open discussions with people across the company. Office apps are all the familiar tools that people know and use regularly, including Word, Excel, PowerPoint, and OneNote.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=101175
Best practices for collaborating with Office 365,"Do your best work together. With Office 365, you can collaborate with anyone, anywhere. Check out the topics below to up your collaboration skills and get the most out of Office 365. Get started Share Co-author Chat in files Meet Mobile More training M365 Collaboration infographic Collaborate on files Collaborate with Office 365 Collaborate with Office Get work done Get my work done Get work done with my team Get work done across my organization",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=101190
OneNote Video Training,Quick start Intro to OneNote Take notes Format notes Draw and sketch Stay organized Share and sync OneNote on mobile devices Other devices OneNote for Mac OneNote for iPad OneNote iPhone OneNote for Android Additional help OneNote help Basic tasks Keyboard shortcuts,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=101266
OneNote for Mac Help,"Note: To continue getting new OneNote updates from the App Store, your Mac must be running OS X 10.10 or later. Get started with the new OneNote Introducing OneNote Basic tasks Sign in Accessibility support for OneNote More... Insert and format a table Insert and format pictures Insert a mathematical equation More... Apply a text style Insert and format pictures Check spelling More... Draw and annotate with ink in OneNote 2016 for Mac Insert shapes in OneNote 2016 for Mac Share your notes Export notes as a PDF file Protect notes with a password More... Create pages, sections, or notebooks Rename pages, sections, or notebooks Delete pages, sections, or notebooks More... Fix issues when you can't sync OneNote Fixes or workarounds for recent issues in OneNote for Mac, iPhone, and iPad Resolve the 0xE0000007 error (""We ran into a problem syncing your notebook"") More... Questions? OneNote for Mac Community forums",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=101267
OneNote: Get help on all your devices.,Browse OneNote help content for all supported versions: OneNote for Windows 10 OneNote 2016 for Windows OneNote for Mac OneNote for iPad OneNote for iPhone OneNote for Android OneNote for the web,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=101269
Follow Channels in Microsoft Stream (Classic),"Important Microsoft is embarking on a new vision for Microsoft Stream that empowers users to create, share, discover, and manage video just as they would any other file. This help article is for Stream (Classic). As time goes on we'll add more articles about the new Stream. Learn more about Microsoft's plans for the new Stream Follow channels in Microsoft Stream (Classic) Follow/unfollow from the list of channels Search for the channel you want to follow by using the search box in the navigation bar or directly from the search page. When you find a channel you're interested in following, click Follow . After you click Follow , the button will say Following . To unfollow a channel, click Following . Follow/unfollow from the selected channel You can also follow a channel from its channel page. From a channel page, under the channel description, click Follow . Follow will turn to Following . To unfollow the channel, click Following . View channels that you are following You can see all the channels that you are currently following from the Microsoft Stream home page by navigating to the Followed channels page. In the Stream navigation bar, go to My content > Following channels . Alternatively, you can access your followed channels from the home page: In the Stream navigation bar, click Stream to go to your home page. Scroll down the page until you see the Followed Channels section to see channels you are following. Microsoft Stream displays up to four channels in this section.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=115999
What is Microsoft Stream?,"Microsoft Stream is an Enterprise Video service where people in your organization can upload, view, and share videos securely. You can share recordings of classes, meetings, presentations, training sessions, or other videos that aid your team's collaboration. Microsoft Stream also makes it easy to share comments on a video, tag timecodes in comments and descriptions to refer to specific points in a video and discuss with colleagues. Microsoft Stream is a secure video service so you can manage who views your video content . Microsoft Stream also helps you organize content into channels and groups so it's easier to find. Microsoft Stream works well with other Office 365 apps like Teams, SharePoint, OneNote, and Yammer, giving even more ways to discover more relevant content.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=115900
Get started with Microsoft Stream (Classic),"Important Microsoft is embarking on a new vision for Microsoft Stream that empowers users to create, share, discover, and manage video just as they would any other file. This help article is for Stream (Classic). As time goes on we'll add more articles about the new Stream. Learn more about Microsoft's plans for the new Stream Trending videos At the very top of your home page, the home page features a few of your company's trending videos. These are the most popular videos that your colleagues are watching, liking or comment on. You can click one of these videos and watch to be in the know. Navigation bar The navigation bar at the top of any Stream page makes it easy for you to browse videos, channel or groups, create new content or easily search for content. You can also use it to invite coworkers, access help or provide your feedback to Microsoft using the small icons on the left. Learn to use Microsoft Stream Directly from the home page, use the tutorial videos. These videos cover the most common actions in Microsoft Stream and make it easy for you to get started. After you're familiar with Stream, to hide these videos, click Don't show this again . My watch list This section only shows if you have videos in your watch list. A watch list is a convenient way to bookmark videos that you want to come back to. These could be videos you really want to see but don't have the time at that moment or vidoes you want to watch again. From any video, click Add to watchlist . To learn how to manage your watchlist see Manage your watchlist . Followed channels Channels are a great way to organize content. To stay in touch with new videos added to a channel or to bookmark it you can easily follow a channel. If you are following a channel, this part of the home page lets you see the new videos added to a channel and/or find the channel you follow easily. If you are no longer interested in a channel, to unfollow it, click Following . For more information, see Follow a channel . Trending videos and popular channels At the bottom of the Home page you will see some more Trending videos and also Popular channels . Trending videos are determined by the number of views, likes and comments. They're a convenient way to keep in touch with what's really popular in your organization. Popular channels highlight channels that are getting attention. See also Understand privacy settings Quotas and limitations Like a video Edit video metadata Add videos to channels Follow a channel",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=115901
Share your videos in Microsoft Stream (Classic),"Important Microsoft is embarking on a new vision for Microsoft Stream that empowers users to create, share, discover, and manage video just as they would any other file. This help article is for Stream (Classic). As time goes on we'll add more articles about the new Stream. Learn more about Microsoft's plans for the new Stream Share your Microsoft Stream videos with others by using the following methods: Share via email Share by sending the link Share at a specific time Share directly on Yammer You can also embed your video on other internal company websites. Learn more about embedding videos . Share a video with your coworkers In Stream , select the Share icon from either the video page or when finding videos through search or browse. On the Share tab, copy the link URL to share the video in a message to your coworkers. You can also share the link from the address bar of the video page directly. Share through email On the Share page, select the Email tab and add the list of users or groups that you would like to share with, or type in an email address from your company. Select Send and close and an email will be sent to those people. Send a link to coworkers with a specific start time To share a video at a particular time, select the Start at check box and set the time that you would like to share the video at. The time will pre-populate based on when you select the Share icon . You can play the video or seek to find the desired point and then select the Share icon . Alternatively, set the time by typing in the box using MM:SS or HHH:MM:SS format. You can then share the link URL with your colleagues. Permissions on your video Only people authorized to see a video will be able to view it. By default, when you upload a video, the permissions are set for the video to be visible to the whole company. If you want to specify permissions to the specific users/groups, you can customize the video permissions. You can do that during upload or at some later time by editing the video permissions. To choose specific groups/channels, or users, go to the Permissions tab and select who can view the video. To view the video, they must be signed in to Microsoft Stream. You can also make the video private. External sharing Microsoft Stream doesn't yet support external sharing scenarios for guests or people outside your organization. We know these features are highly needed and we are working on plans for how to build these features. You can add your votes and comments to these ideas on the Microsoft Stream ideas forum:",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=116000
Search content in Microsoft Stream (Classic),"Important Microsoft is embarking on a new vision for Microsoft Stream that empowers users to create, share, discover, and manage video just as they would any other file. This help article is for Stream (Classic). As time goes on we'll add more articles about the new Stream. Learn more about Microsoft's plans for the new Stream You can search for content in Microsoft Stream from the top of any page with the Search box in the application bar. You can search for videos, channels, people, and browse groups. If you don't have access to a video, channel, or group it won't show up in Stream or your search results. Search across Stream Type in a word or phrase into the Search box at the top of Microsoft Stream. Press enter or click the magnifying glass. Click Videos , Channels , or People to narrow your search results. For videos and channels, use Sort by to sort the results to further make it easier to find what you are looking for. We currently don't support searching for groups but you can browse groups and sort them to find the group you are looking for. Deep search on what's said in the video When searching for videos, Stream finds videos based not only on the title and description, but also based on what's being said in the video. From the search results based on the transcript of the video, you can jump to the exact point in the video that has the information you are looking for. From Browse > Videos > Search for videos or the Search box at the top of Stream, type a word or phrase to search for. When you see video search results with a time code (for example, @00:10), click any of the lines to start playing the video from that specific point in time. Search within a channel If you are looking for a video in a specific channel you can scope your search just to that channel. Go to the channel you want to search within. Use the Search for videos search box on the channel page. Search within a group If you are looking for a video in a specific group you can scope your search just to that group. Go to the group you want to search within. Click the Videos tab. Use the Search for videos search box on the group video page. See also Get started Explore interesting content Deep search within a video Understand privacy settings Licensing overview",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=115998
TROY Email: Message Limits,"Message Limits The following limits are applied to every email message. Message size limit : Message size limits are necessary to prevent large messages from blocking delivery of other messages and affecting service performance for all users. These limits include attachments, and apply organization-wide to all messages (inbound, outbound, and internal). Messages larger than this limit will not be delivered, and the sender will receive a non-delivery report (NDR). Some email clients may have lower message size limits or may limit the size of an individual file attachment to a value that is less than the Exchange Online message size limit. The default maximum message size for Office 365 mailboxes is 25 MB. Exchange accounts for the possibility that your message may be subject to the 33% encoding increase and restricts the size of message you can send to 25% less than the configured setting. For example, if you customize your settings for a 100 MB maximum message size, you can send messages no larger than 75 MB.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40558
Outlook: Automatic Replies,"Set up an automatic reply You can turn on, turn off, or modify automatic replies. In any web browser, go to the address https://outlook.com/troy.edu. Enter your user name and password, and then select Choose Settings > Set automatic replies For information about how to set up automatic replies in the desktop version of Outlook, see Send automatic out of office replies from Outlook .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=97033
Outlook: Conversation View,"Conversation View By default, when a TROY O365 account is added to Outlook, messages are displayed in Conversations .  A Conversation includes all messages in the same thread with the same subject line. The Conversation view can be disabled by choosing Filter above your message list, and then selecting Show As > Messages Additional information for Conversation View and other customizations for Outlook can be found at https://support.office.com/en-us/article/Customize-dba4d238-f29f-4800-b0cb-504359469d9d#ID0EAABAAA=Customize_view",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=82709
Outlook: Cached Mode,"About Cached Exchange Mode Cached Exchange Mode enables a better experience when you use an Exchange account. In this mode, a copy of your mailbox is saved on your computer. This copy provides quick access to your data, and it is frequently updated with the server that runs Microsoft Exchange. Notes : •    Cached Exchange Mode is the default when you add an Exchange or Office 365 account. •    We recommend always using Cached Exchange Mode with an Exchange or Office 365 account Turn Cached Exchange Mode on or off 1.    Click File > Account Settings > Account Settings. 2.    Click the Exchange or Office 365, and then click Change. 3.    Under Offline Settings, check Use Cached Exchange Mode. 4.    Exit, and then restart Outlook. If you want to turn off Cached Exchange Mode, repeat the steps, but clear Use Cached Exchange Mode. By default, 12 months of your email is available offline, but you can control how much mail is kept offline. Cached Exchange Mode and shared folders By default, when Cached Exchange Mode is turned on, a local copy of shared folders is downloaded to your computer. To change whether shared folders or Public Folders are downloaded when Cached Exchange Mode is turned on, do the following: 1.    Click File > Account Settings > Account Settings. 2.    Click the Exchange account, and then click Change > More Settings. 3.    On the Advanced tab, under Cached Exchange Mode Settings, check the options you want. Why isn’t the Cached Exchange Mode option available? If the Cached Exchange Mode option is missing, one or more of the following might apply: •    An Exchange account doesn't exist in your Microsoft Outlook profile.  This feature requires your Outlook profile contain an Exchange account. POP3 and IMAP accounts can’t use this feature. Additional information is available at: Turn on Cached Exchange Mode",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44784
